Cloud-J v7.5A NEW cloud scattering and absorption:  17:18 bin edge now 485 nm, 18:19 = 778 nm (RRTMG)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
26 3.408  6.0  78.2 1.427 4.9E-02 2.453 0.57624 2.592 3.861 4.809 5.671 6.352 6.906 7.302
26 3.408 12.0 312.8 1.427 4.9E-02 2.268 0.52626 2.813 4.481 6.003 7.429 8.739 9.94811.042
26 3.408 24.0 1251. 1.427 4.9E-02 2.167 0.52466 2.868 4.668 6.391 8.055 9.66211.21112.701
26 3.408 48.0 5004. 1.427 4.9E-02 2.105 0.53291 2.878 4.714 6.499 8.253 9.97911.67713.346

27 5.383  1.5   4.9 1.316 2.2E-02 0.625 0.79200 1.938 1.805 1.110 0.561 0.227 0.082 0.026
27 5.383  3.0  19.5 1.316 2.2E-02 2.038 0.86401 2.468 3.192 3.200 2.803 2.206 1.604 1.084
27 5.383  6.0  78.2 1.316 2.2E-02 3.040 0.83244 2.583 3.681 4.248 4.489 4.477 4.287 3.996
27 5.383 12.0 312.8 1.316 2.2E-02 2.412 0.67755 2.588 3.831 4.658 5.396 6.013 6.579 7.057
27 5.383 24.0 1251. 1.316 2.2E-02 2.236 0.57597 2.801 4.410 5.813 7.154 8.413 9.61210.734
27 5.383 48.0 5004. 1.316 2.2E-02 2.145 0.53228 2.893 4.696 6.413 8.084 9.71411.30512.855

Ice-Irrg/wrm 0.91700
12 0.295  3.0  19.5 1.336 5.8E-09 2.129 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295  6.0  78.2 1.336 5.8E-09 2.083 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 12.0 312.8 1.336 5.8E-09 2.052 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 24.0 1251. 1.336 5.8E-09 2.033 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 48.0 5004. 1.336 5.8E-09 2.021 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 95.519927. 1.336 5.8E-09 2.013 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

13 0.303  3.0  19.5 1.333 5.4E-09 2.145 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303  6.0  78.2 1.333 5.4E-09 2.088 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 12.0 312.8 1.333 5.4E-09 2.055 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 24.0 1251. 1.333 5.4E-09 2.034 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 48.0 5004. 1.333 5.4E-09 2.021 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303 95.519927. 1.333 5.4E-09 2.013 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

14 0.310  3.0  19.5 1.332 5.1E-09 2.142 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310  6.0  78.2 1.332 5.1E-09 2.088 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 12.0 312.8 1.332 5.1E-09 2.055 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 24.0 1251. 1.332 5.1E-09 2.034 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 48.0 5004. 1.332 5.1E-09 2.022 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
14 0.310 95.519927. 1.332 5.1E-09 2.014 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

15 0.316  3.0  19.5 1.331 4.8E-09 2.138 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316  6.0  78.2 1.331 4.8E-09 2.089 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 12.0 312.8 1.331 4.8E-09 2.056 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 24.0 1251. 1.331 4.8E-09 2.035 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 48.0 5004. 1.331 4.8E-09 2.022 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 0.316 95.519927. 1.331 4.8E-09 2.014 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

16 0.333  3.0  19.5 1.328 4.3E-09 2.142 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333  6.0  78.2 1.328 4.3E-09 2.089 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 12.0 312.8 1.328 4.3E-09 2.058 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 24.0 1251. 1.328 4.3E-09 2.036 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 48.0 5004. 1.328 4.3E-09 2.023 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
16 0.333 95.519927. 1.328 4.3E-09 2.014 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794

17 0.429  3.0  19.5 1.318 2.2E-09 2.173 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.429  6.0  78.2 1.318 2.2E-09 2.107 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.429 12.0 312.8 1.318 2.2E-09 2.068 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.429 24.0 1251. 1.318 2.2E-09 2.043 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.429 48.0 5004. 1.318 2.2E-09 2.027 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
17 0.429 95.519927. 1.318 2.2E-09 2.017 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794

18 0.631  3.0  19.5 1.309 2.0E-08 2.227 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.631  6.0  78.2 1.309 2.0E-08 2.140 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.631 12.0 312.8 1.309 2.0E-08 2.088 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.631 24.0 1251. 1.309 2.0E-08 2.055 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.631 48.0 5004. 1.309 2.0E-08 2.035 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794
18 0.631 95.519927. 1.309 2.0E-08 2.022 0.99997 2.257 3.164 4.096 5.088 6.018 6.897 7.794

19 0.973  3.0  19.5 1.302 1.7E-06 2.319 0.99994 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973  6.0  78.2 1.302 1.7E-06 2.196 0.99987 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 12.0 312.8 1.302 1.7E-06 2.120 0.99974 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 24.0 1251. 1.302 1.7E-06 2.074 0.99953 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 48.0 5004. 1.302 1.7E-06 2.046 0.99909 2.257 3.164 4.096 5.088 6.018 6.897 7.794
19 0.973 95.519927. 1.302 1.7E-06 2.029 0.99822 2.257 3.164 4.096 5.088 6.018 6.897 7.794

20 1.270  3.0  19.5 1.297 1.3E-05 2.398 0.99965 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270  6.0  78.2 1.297 1.3E-05 2.233 0.99922 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 12.0 312.8 1.297 1.3E-05 2.144 0.99848 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 24.0 1251. 1.297 1.3E-05 2.089 0.99718 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 48.0 5004. 1.297 1.3E-05 2.055 0.99459 2.257 3.164 4.096 5.088 6.018 6.897 7.794
20 1.270 95.519927. 1.297 1.3E-05 2.035 0.98954 2.257 3.164 4.096 5.088 6.018 6.897 7.794

21 1.448  3.0  19.5 1.293 2.4E-04 2.498 0.99473 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448  6.0  78.2 1.293 2.4E-04 2.260 0.98843 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 12.0 312.8 1.293 2.4E-04 2.157 0.97815 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 24.0 1251. 1.293 2.4E-04 2.097 0.95928 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 48.0 5004. 1.293 2.4E-04 2.060 0.92463 2.257 3.164 4.096 5.088 6.018 6.897 7.794
21 1.448 95.519927. 1.293 2.4E-04 2.038 0.86525 2.257 3.164 4.096 5.088 6.018 6.897 7.794

22 1.768  3.0  19.5 1.284 2.2E-04 2.777 0.99646 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.768  6.0  78.2 1.284 2.2E-04 2.296 0.99132 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.768 12.0 312.8 1.284 2.2E-04 2.181 0.98320 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.768 24.0 1251. 1.284 2.2E-04 2.111 0.96845 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.768 48.0 5004. 1.284 2.2E-04 2.069 0.94107 2.257 3.164 4.096 5.088 6.018 6.897 7.794
22 1.768 95.519927. 1.284 2.2E-04 2.044 0.89272 2.257 3.164 4.096 5.088 6.018 6.897 7.794

23 2.040  3.0  19.5 1.272 1.2E-03 3.023 0.98526 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.040  6.0  78.2 1.272 1.2E-03 2.329 0.96215 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.040 12.0 312.8 1.272 1.2E-03 2.203 0.92788 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.040 24.0 1251. 1.272 1.2E-03 2.123 0.87303 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.040 48.0 5004. 1.272 1.2E-03 2.076 0.78764 2.257 3.164 4.096 5.088 6.018 6.897 7.794
23 2.040 95.519927. 1.272 1.2E-03 2.048 0.68071 2.257 3.164 4.096 5.088 6.018 6.897 7.794

24 2.309  3.0  19.5 1.251 4.7E-04 3.135 0.99517 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309  6.0  78.2 1.251 4.7E-04 2.402 0.98722 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 12.0 312.8 1.251 4.7E-04 2.225 0.97304 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 24.0 1251. 1.251 4.7E-04 2.136 0.94992 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 48.0 5004. 1.251 4.7E-04 2.084 0.90868 2.257 3.164 4.096 5.088 6.018 6.897 7.794
24 2.309 95.519927. 1.251 4.7E-04 2.052 0.84015 2.257 3.164 4.096 5.088 6.018 6.897 7.794

25 2.752  3.0  19.5 1.127 1.1E-01 1.733 0.44265 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.752  6.0  78.2 1.127 1.1E-01 2.141 0.49148 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.752 12.0 312.8 1.127 1.1E-01 2.156 0.49398 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.752 24.0 1251. 1.127 1.1E-01 2.106 0.50188 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.752 48.0 5004. 1.127 1.1E-01 2.071 0.51136 2.257 3.164 4.096 5.088 6.018 6.897 7.794
25 2.752 95.519927. 1.127 1.1E-01 2.048 0.51702 2.257 3.164 4.096 5.088 6.018 6.897 7.794

26 3.408  3.0  19.5 1.499 1.5E-01 2.764 0.54304 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.408  6.0  78.2 1.499 1.5E-01 2.410 0.49323 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.408 12.0 312.8 1.499 1.5E-01 2.254 0.51309 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.408 24.0 1251. 1.499 1.5E-01 2.161 0.53070 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.408 48.0 5004. 1.499 1.5E-01 2.103 0.54078 2.257 3.164 4.096 5.088 6.018 6.897 7.794
26 3.408 95.519927. 1.499 1.5E-01 2.065 0.54592 2.257 3.164 4.096 5.088 6.018 6.897 7.794

27 5.383  3.0  19.5 1.326 3.1E-02 2.114 0.82799 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.383  6.0  78.2 1.326 3.1E-02 2.992 0.78680 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.383 12.0 312.8 1.326 3.1E-02 2.403 0.62381 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.383 24.0 1251. 1.326 3.1E-02 2.234 0.54380 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.383 48.0 5004. 1.326 3.1E-02 2.144 0.52357 2.257 3.164 4.096 5.088 6.018 6.897 7.794
27 5.383 95.519927. 1.326 3.1E-02 2.090 0.52662 2.257 3.164 4.096 5.088 6.018 6.897 7.794

Ice-Hexg/cld 0.91700   same as above except for P1:P7
12 0.295  3.0  19.5 1.336 5.8E-09 2.129 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295  6.0  78.2 1.336 5.8E-09 2.083 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295 12.0 312.8 1.336 5.8E-09 2.052 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295 24.0 1251. 1.336 5.8E-09 2.033 0.99999 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295 48.0 5004. 1.336 5.8E-09 2.021 0.99999 2.435 3.712 4.756 5.960 6.908 7.865 8.954
12 0.295 95.519927. 1.336 5.8E-09 2.013 0.99998 2.435 3.712 4.756 5.960 6.908 7.865 8.954

13 0.303  3.0  19.5 1.333 5.4E-09 2.145 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 0.303  6.0  78.2 1.333 5.4E-09 2.088 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 0.303 12.0 312.8 1.333 5.4E-09 2.055 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 0.303 24.0 1251. 1.333 5.4E-09 2.034 1.00000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 0.303 48.0 5004. 1.333 5.4E-09 2.021 0.99999 2.435 3.712 4.756 5.960 6.908 7.865 8.954
13 0.303 95.519927. 1.333 5.4E-09 2.013 0.99998 2.435 3.712 4.756 5.960 6.908 7.865 8.954

