FJX_scat-ssa.dat v7.5A    S=27 RRTMG & 17:18 edge = 485nm (05/2019)
Strat Sulf Aer: 220-250-280K x 50-70-90%
  18  27  SSA-Bkgd or SSA-Volc: Reff, Geff, Dens, T(K), wt(%)
bin  wavel  nr     ni      Q       pi0      P1    P2    P3    P4    P5    P6    P7
23  2.0390  1.3760 1.3E-03 0.01743 0.90363 0.535 0.614 0.127 0.025 0.005 0.001 0.000
24  2.3090  1.3550 2.1E-03 0.01141 0.78698 0.437 0.578 0.101 0.016 0.003 0.001 0.000
25  2.7480  1.2920 5.1E-02 0.04012 0.06541 0.314 0.543 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3370 1.6E-01 0.09116 0.02012 0.220 0.521 0.048 0.004 0.000 0.000 0.000
27  5.3620  1.3730 1.9E-01 0.06727 0.00606 0.098 0.504 0.020 0.001 0.000 0.000 0.000
Bkgd220K90  0.1308  0.0245  1.8948   220.0    90.0
 5  0.2020  1.5170 0.0E+00 2.99389 1.00000 2.073 2.578 2.338 2.095 1.687 1.370 1.071
 6  0.2080  1.5170 0.0E+00 2.96547 1.00000 2.074 2.566 2.320 2.056 1.642 1.317 1.021
 7  0.2110  1.5170 0.0E+00 2.95189 1.00000 2.074 2.559 2.308 2.038 1.623 1.296 0.999
 8  0.2140  1.5170 0.0E+00 2.93690 1.00000 2.074 2.552 2.297 2.022 1.602 1.276 0.979
 9  0.2620  1.4820 0.0E+00 2.48104 1.00000 2.119 2.529 2.245 1.869 1.423 1.067 0.783
10  0.2670  1.4790 0.0E+00 2.42489 1.00000 2.120 2.521 2.230 1.847 1.397 1.041 0.760
11  0.2770  1.4750 0.0E+00 2.32435 1.00000 2.117 2.499 2.194 1.796 1.344 0.990 0.714
12  0.2950  1.4680 0.0E+00 2.14700 1.00000 2.110 2.459 2.126 1.707 1.249 0.900 0.633
13  0.3030  1.4650 0.0E+00 2.06393 1.00000 2.106 2.437 2.092 1.662 1.204 0.857 0.596
14  0.3100  1.4650 0.0E+00 2.01020 1.00000 2.099 2.415 2.057 1.622 1.163 0.822 0.566
15  0.3160  1.4670 0.0E+00 1.97156 1.00000 2.090 2.389 2.020 1.579 1.124 0.787 0.537
16  0.3330  1.4620 0.0E+00 1.82416 1.00000 2.079 2.348 1.955 1.502 1.048 0.720 0.482
17  0.4290  1.4490 0.0E+00 1.21657 1.00000 1.990 2.101 1.614 1.139 0.736 0.475 0.304
18  0.6310  1.4420 8.9E-09 0.58131 1.00000 1.731 1.626 1.041 0.624 0.343 0.191 0.101
19  0.9730  1.4340 1.1E-06 0.20167 0.99998 1.303 1.117 0.528 0.236 0.093 0.039 0.015
20  1.2700  1.4310 6.6E-06 0.09655 0.99984 1.011 0.873 0.319 0.111 0.035 0.012 0.004
21  1.4480  1.4550 7.1E-05 0.07211 0.99813 0.881 0.781 0.244 0.074 0.021 0.007 0.002
22  1.7670  1.4490 4.6E-04 0.03760 0.98107 0.684 0.674 0.166 0.040 0.009 0.003 0.001
23  2.0390  1.4380 1.1E-03 0.02336 0.93489 0.555 0.618 0.126 0.024 0.005 0.001 0.000
24  2.3090  1.4190 1.9E-03 0.01473 0.85040 0.453 0.581 0.099 0.016 0.003 0.001 0.000
25  2.7480  1.3670 2.6E-02 0.02400 0.17180 0.330 0.546 0.072 0.009 0.001 0.000 0.000
26  3.4040  1.3500 1.7E-01 0.09759 0.02036 0.221 0.521 0.047 0.004 0.000 0.000 0.000
27  5.3620  1.4330 2.1E-01 0.07052 0.00738 0.101 0.505 0.020 0.001 0.000 0.000 0.000
Bkgd250K90  0.1308  0.0245  1.8615   250.0    90.0
 5  0.2020  1.5080 0.0E+00 2.97379 1.00000 2.089 2.605 2.377 2.129 1.720 1.391 1.091
 6  0.2080  1.5080 0.0E+00 2.94356 1.00000 2.090 2.591 2.356 2.092 1.676 1.343 1.044
 7  0.2110  1.5080 0.0E+00 2.92738 1.00000 2.091 2.586 2.347 2.073 1.655 1.319 1.021
 8  0.2140  1.5080 0.0E+00 2.91173 1.00000 2.091 2.579 2.337 2.055 1.636 1.298 1.000
 9  0.2620  1.4740 0.0E+00 2.44504 1.00000 2.131 2.550 2.273 1.896 1.447 1.084 0.798
10  0.2670  1.4710 0.0E+00 2.38795 1.00000 2.131 2.542 2.257 1.872 1.421 1.059 0.774
11  0.2770  1.4670 0.0E+00 2.28590 1.00000 2.129 2.520 2.220 1.821 1.365 1.006 0.726
12  0.2950  1.4600 0.0E+00 2.10686 1.00000 2.122 2.478 2.151 1.729 1.268 0.913 0.643
13  0.3030  1.4570 0.0E+00 2.02305 1.00000 2.118 2.457 2.115 1.684 1.222 0.870 0.606
14  0.3100  1.4570 0.0E+00 1.97049 1.00000 2.110 2.434 2.081 1.643 1.182 0.834 0.575
15  0.3160  1.4580 0.0E+00 1.92706 1.00000 2.102 2.411 2.047 1.604 1.143 0.801 0.548
16  0.3330  1.4540 0.0E+00 1.78517 1.00000 2.090 2.366 1.979 1.523 1.066 0.733 0.493
17  0.4290  1.4410 0.0E+00 1.18565 1.00000 1.998 2.116 1.633 1.156 0.750 0.485 0.311
18  0.6310  1.4340 8.9E-09 0.56393 1.00000 1.734 1.634 1.049 0.631 0.347 0.194 0.101
19  0.9730  1.4260 1.1E-06 0.19540 0.99998 1.302 1.119 0.530 0.237 0.094 0.039 0.015
20  1.2700  1.4210 6.6E-06 0.09140 0.99984 1.008 0.873 0.320 0.112 0.036 0.012 0.004
